country,avg_tuition,private_unis,public_unis,private_uni_pct,total_students_mil,cost_of_living,scholarship_pct,avg_tuition_norm,cost_of_living_norm,private_uni_pct_norm,scholarship_pct_norm,scholarship_pct_norm_inverted,sfbi_score,education_cost_subindex,living_burden_subindex
ireland,22449.42,1580,502,39.0,28.8,80,75,0.3603012448384059,0.8620689655172414,0.3661087866108787,0.7368421052631577,0.26315789473684226,0.38392239703767167,0.34360875806533625,0.5303398058252428
pakistan,30457.93,1107,730,43.9,2.7,56,66,0.5063801479593122,0.4482758620689654,0.46861924686192474,0.5789473684210527,0.42105263157894735,0.36570007127663035,0.4880534432346183,0.3592233009708737
mexico,29525.2,1853,507,29.6,18.6,44,42,0.48936672407547316,0.2413793103448275,0.16945606694560672,0.1578947368421052,0.8421052631578948,0.3639151367390944,0.3422369705036559,0.5024271844660194
philippines,16244.79,1670,1173,37.7,14.0,55,47,0.24712594198293497,0.43103448275862066,0.3389121338912135,0.24561403508771917,0.7543859649122808,0.3509888488054625,0.25515347326576254,0.5705906148867315
romania,56246.43,772,869,29.9,19.1,42,70,0.9767742403851802,0.2068965517241379,0.17573221757322172,0.6491228070175437,0.35087719298245634,0.34999564471415623,0.6734003785074185,0.15088996763754053
egypt,10525.83,1439,308,30.9,3.3,62,46,0.14280948314198483,0.5517241379310344,0.19665271966527192,0.22807017543859642,0.7719298245614036,0.3224805335651136,0.12099088776426009,0.6630258899676376
south africa,17174.19,606,928,50.9,18.6,75,85,0.2640786251363018,0.7758620689655172,0.6150627615062763,0.9122807017543859,0.08771929824561409,0.29648969096471844,0.3905940056869836,0.3553802588996764
netherlands,30739.49,1234,1256,32.2,24.9,64,76,0.5115159317646296,0.5862068965517241,0.22384937238493735,0.7543859649122806,0.2456140350877194,0.27582565153304545,0.38158614038221406,0.3341423948220065
greece,25079.91,1404,596,21.5,8.1,75,73,0.40828259141479933,0.7758620689655172,0.0,0.7017543859649122,0.29824561403508776,0.27031852281767377,0.21151085297462688,0.4961569579288027
thailand,4502.49,323,379,25.9,4.8,52,33,0.03294099320761765,0.3793103448275862,0.09205020920502088,0.0,1.0,0.26524566108001685,0.0,0.700242718446602
czech republic,12645.09,1352,384,41.2,4.2,64,69,0.1814657595564504,0.5862068965517241,0.4121338912133892,0.631578947368421,0.368421052631579,0.2377976922126691,0.2438052895374153,0.4162621359223301
bangladesh,35512.76,392,567,55.4,10.5,34,75,0.598582570365309,0.06896551724137923,0.7092050209205021,0.7368421052631577,0.26315789473684226,0.23653147113291836,0.6582140714607311,0.0
indonesia,9528.21,1616,1107,41.2,2.7,42,47,0.12461243583462321,0.2068965517241379,0.4121338912133892,0.24561403508771917,0.7543859649122808,0.21467138946140676,0.20550573397262933,0.4207119741100324
hungary,39049.41,714,156,40.5,0.5,43,80,0.6630926918139373,0.22413793103448276,0.397489539748954,0.8245614035087718,0.17543859649122817,0.2013943695081166,0.5616791006359874,0.04510517799352754
peru,12512.63,1467,1443,35.1,14.5,46,54,0.1790496282776738,0.27586206896551724,0.284518828451883,0.36842105263157887,0.6315789473684211,0.17597210879423017,0.18486525473281049,0.3847087378640777
new zealand,25271.8,982,1284,55.9,10.1,31,70,0.411782753207676,0.01724137931034475,0.7196652719665273,0.6491228070175437,0.35087719298245634,0.1702117781300361,0.5370730800742027,0.024069579288025934
poland,30966.51,1502,1111,38.7,9.4,30,64,0.5156568809032968,0.0,0.3598326359832637,0.5438596491228069,0.45614035087719307,0.1478248118108899,0.44544629807680225,0.08292880258899679
uk,26640.27,237,142,48.1,4.4,45,85,0.43674427495814727,0.2586206896551724,0.5564853556485356,0.9122807017543859,0.08771929824561409,0.12168211369153883,0.4806038457600148,0.009506472491909349
saudi arabia,21179.71,359,182,21.8,8.9,47,61,0.33714115087815044,0.293103448275862,0.006276150627615107,0.49122807017543857,0.5087719298245614,0.1151318672707221,0.1664046709530433,0.31411812297734626
portugal,3950.93,1051,1426,55.0,10.7,42,67,0.022880285309972895,0.2068965517241379,0.7008368200836821,0.5964912280701753,0.4035087719298247,0.09613343781390167,0.2666308573265805,0.18608414239482207
belgium,11912.62,321,1398,32.4,25.3,44,68,0.16810517011235032,0.2413793103448275,0.22803347280334735,0.6140350877192982,0.38596491228070184,0.025640791992021232,0.15212467880960373,0.19741100323624594
argentina,4692.63,1769,1277,41.8,4.4,49,73,0.0364092341961922,0.3275862068965517,0.4246861924686192,0.7017543859649122,0.29824561403508776,0.02467640620410829,0.151724444699613,0.19639967637540454
malaysia,13508.76,1159,361,31.7,29.7,62,90,0.19721949730022958,0.5517241379310344,0.21338912133891214,1.0,0.0,0.0,0.16516087396813,0.14684466019417466
